company,name,kms_driven,fuel_type,selling_price,year
Maruti,Alto,120000,Petrol,120000,2017
Hyundai,Grand,20000,Petrol,550000,2021
Hyundai,i20,60000,Petrol,215000,2015
Maruti,Alto,37000,Petrol,226000,2017
Ford,Ecosport,30000,Diesel,570000,2020
Maruti,Wagon R,35000,Petrol,350000,2018
Hyundai,i10,40000,Petrol,315000,2018
Maruti,Wagon R,17512,Petrol,410000,2023
Hyundai,Venue,20000,Petrol,1050000,2024
Maruti,Swift,28321,Petrol,511000,2022
Hyundai,Verna,65278,Diesel,425000,2018
Renault,Duster,50000,Diesel,750000,2021
Mini,Cooper,6000,Petrol,3250000,2022
Maruti,Ciaz,76000,Diesel,650000,2021
Maruti,Swift,20000,Diesel,627000,2021
Mercedes-Benz,C-Class,65000,Diesel,1425000,2019
Maruti,Swift,62200,Diesel,425000,2019
Toyota,Innova,110000,Diesel,605000,2018
Maruti,Baleno,20000,Petrol,600000,2020
Maruti,Swift Dzire,40000,Petrol,575000,2021
Volkswagen,Vento,47000,Petrol,425000,2018
Maruti,Alto,25000,Petrol,230000,2018
Hyundai,Creta,15000,Diesel,1225000,2024
Honda,City,50000,Petrol,750000,2020
Mahindra,Bolero,25000,Diesel,350000,2016
Maruti,Swift Dzire,90000,Diesel,600000,2020
Maruti,Swift Dzire,45000,Diesel,390000,2018
Honda,City,77253,Petrol,145000,2012
Hyundai,i20,25000,Petrol,700000,2023
Toyota,Fortuner,110000,Diesel,1150000,2018
Renault,KWID,30000,Petrol,340000,2022
Honda,Amaze,39993,Petrol,465000,2021
Hyundai,Santro,80000,Petrol,125000,2014
Mahindra,XUV500,185000,Diesel,600000,2017
Maruti,Swift Dzire,90000,Diesel,380000,2018
Hyundai,i20,15000,Diesel,850000,2023
Hyundai,i20,40000,Petrol,598000,2023
Honda,City,31180,Petrol,700000,2020
Maruti,Swift Dzire,56000,Diesel,410000,2019
Maruti,Baleno,52427,Petrol,590000,2021
Mahindra,Bolero,40000,Diesel,850000,2025
Mahindra,KUV100,17000,Petrol,550000,2023
Maruti,Baleno,22000,Petrol,625000,2021
Maruti,Swift Dzire,54000,Petrol,600000,2021
Maruti,Wagon R,10000,Petrol,445000,2024
Maruti,Ignis,20000,Petrol,530000,2024
Maruti,Wagon R,53237,CNG,410000,2023
Datsun,RediGO,27263,Petrol,350000,2023
Hyundai,Verna,110000,Diesel,520000,2019
Hyundai,i20,70000,Diesel,750000,2021
Maruti,Swift Dzire,70000,Diesel,560000,2022
Hyundai,i20,39000,Petrol,655000,2024
Hyundai,Santro,56000,Petrol,125000,2012
Hyundai,i20,34000,Petrol,550000,2023
Mahindra,Scorpio,50000,Diesel,1150000,2022
Volkswagen,Vento,77400,Diesel,500000,2017
Mahindra,Marazzo,36000,Diesel,990000,2024
Hyundai,Verna,47876,Diesel,551000,2018
Mahindra,XUV500,21500,Diesel,1650000,2023
Hyundai,Grand,75000,Diesel,350000,2020
Ford,Aspire,58000,Petrol,500000,2022
Maruti,Swift Dzire,30000,Petrol,575000,2023
Hyundai,Grand,50000,Diesel,545000,2023
Ford,Figo,19093,Petrol,525000,2022
Honda,Amaze,50000,Petrol,400000,2019
Maruti,Wagon R,37000,Petrol,155000,2011
Maruti,Swift Dzire,47000,Diesel,545000,2021
Honda,City,70000,Petrol,545000,2018
Renault,KWID,25000,Petrol,240000,2021
Maruti,Vitara,26000,Diesel,725000,2023
